,validate_dataset_name,sample_network_path,n_units,n_trained_parameters,mean_performance,ci_upper_performance,ci_lower_performance,max_performance
0,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",1,15.0,93.73210567178195,93.87786789395717,93.58634344960673,94.46294380778325
1,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",2,34.0,96.99750458900834,97.34919601747677,96.64581316053992,97.68742824040875
2,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",3,59.0,98.62247223960432,98.80690671382499,98.43803776538365,99.06481178055125
3,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",4,90.0,98.77271368834484,99.05584335480064,98.48958402188903,99.20875160545185
4,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",5,127.0,98.89948729699998,99.08453917270722,98.71443542129273,99.39359389659889
5,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",6,170.0,99.14982361061811,99.26361947477942,99.03602774645681,99.42107586706418
6,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",7,219.0,99.13187820439376,99.32050318998394,98.94325321880358,99.53236582909419
7,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",8,274.0,99.06497803445421,99.27617041948032,98.8537856494281,99.51746306959988
8,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",10,402.0,99.18924381315145,99.32876854679073,99.04971907951217,99.5797181455519
9,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",12,554.0,99.18708251241296,99.337497126466,99.03666789835991,99.60499675103819
10,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",14,730.0,99.34382388784152,99.48647369148837,99.20117408419468,99.67582491981754
11,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",17,1039.0,99.13711620386654,99.42505062613154,98.84918178160154,99.70306652319422
12,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",21,1535.0,99.17213768867815,99.3791378577185,98.96513751963779,99.67342124893138
13,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",25,2127.0,99.4518108054621,99.55354749377976,99.35007411714444,99.83094181433886
14,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",31,3195.0,99.45207120314143,99.58830214960098,99.31584025668188,99.83602958438127
15,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",37,4479.0,99.47173723710851,99.62044858850304,99.32302588571399,99.82164762024564
16,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-05-34/trained_model.pt",45,6527.0,99.33511458699726,99.49417731297248,99.17605186102205,99.7791026455603
